,acousticness,album,album_id,album_release,artist,danceability,energy,feature,key,loudness,tempo,track_id,track_name,valence,rank,percentile
71,0.371,GO:OD AM,2Tyx5dLhHYkx6zeAdVaTzN,2015-09-18,Mac Miller,0.735,0.749,No Feature,10,-3.766,93.718,4z0PnuB07fxtVZZRWsCfxb,100 Grandkids,0.373,72,5
72,0.205,I Don't Mind,5BAqg5IJQ7XFKfdoCiOlJw,2014-11-21,Usher,0.87,0.464,Juicy J,4,-8.337,112.974,7aXuop4Qambx5Oi3ynsKQr,I Don't Mind,0.457,73,5
73,0.1,Christmas Kisses,5MfeQZrrNfMqcaq03U9qOr,2013-01-01,Ariana Grande,0.563,0.93,No Feature,11,-3.441,180.017,25tkPPlBrYCXkSIAASibtL,Love Is Everything,0.826,74,4
74,0.00175,Return To Cookie Mountain,7xn8nwwutlJFMb7Zf9NEHi,2006-01-01,TV On The Radio,0.22,0.8,No Feature,7,-5.11,176.047,03wKMRNYVvw6s9nm4I4jUS,Wolf Like Me,0.213,75,4
75,0.0959,Trigga Reloaded,3pKTKC0AAe3yTcXQLzvpSW,2015-06-23,Trey Songz,0.582,0.564,No Feature,0,-4.066,204.002,2ssYQKMqVUkoQgi02PmDPB,About You,0.718,76,4
76,0.369,See You Again (feat. Charlie Puth),5FXIqS1XqbpfOKNoi5VUwS,2015,Wiz Khalifa,0.689,0.481,Charlie Puth,10,-7.503,80.025,2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),0.283,77,4
77,0.219,Coming Home,4svLfrPPk2npPVuI4kXPYg,2015-06-15,Leon Bridges,0.395,0.746,No Feature,7,-4.938,188.267,3kguMbJma0qhOLniGsFlKq,Better Man,0.671,78,4
78,0.0717,ANTI,3Q149ZH46Z0f3oDR7vlDYV,2016-01-28,Rihanna,0.509,0.637,No Feature,4,-4.83,172.006,2aksifNn5ph8igDOkPBA02,Love On The Brain,0.378,79,3
79,0.0274,BUSH,3UesepjW7Scwi8DV62Qqyn,2015-05-06,Snoop Dogg,0.832,0.756,Charlie Wilson,0,-5.332,110.034,4lcpWCMFXNhvqNIQhB6yDv,Peaches N Cream,0.282,80,3
80,0.0513,GO:OD AM,2Tyx5dLhHYkx6zeAdVaTzN,2015-09-18,Mac Miller,0.837,0.699,No Feature,10,-4.301,124.04,4lIVN4LUJCmweoGJmk6hK9,When In Rome,0.216,81,3
81,0.165,The Gold Album: 18th Dynasty,5C6Le181K769lhC5GRZrE5,2015-06-30,Tyga,0.638,0.707,No Feature,0,-6.522,104.939,23ZH3XLCaLjJawMhZwePHS,Hard For You,0.397,82,3
82,0.302,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,2014-12-09,J. Cole,0.696,0.521,No Feature,10,-8.465,100.0,62vpWI1CHwFy7tMIcSStl8,No Role Modelz,0.458,83,3
83,0.413,Coming Home,4svLfrPPk2npPVuI4kXPYg,2015-06-15,Leon Bridges,0.641,0.721,No Feature,11,-6.788,67.055,3JbqwFY5q0ORO3siv5zL3A,Smooth Sailin',0.753,84,2
84,0.0511,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,2018-04-06,Cardi B,0.968,0.589,Migos,11,-7.808,129.993,2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),0.268,85,2
85,0.0215,R.I.P.,1LNt50HaTc2VKkIAHi6xfl,2013-02-05,Jeezy,0.825,0.489,2 Chainz,11,-9.32,96.99,2JJ5h2I1S0UR4tyD0U1I7K,R.I.P.,0.438,86,2
86,0.119,Classic Man (Remix),0b2j47HuTRqlzvROQktVtg,2015-06-22,Jidenna,0.851,0.657,Kendrick Lamar,2,-5.161,94.036,530J9GupahE2O4a1iVkQxB,Classic Man - Remix,0.644,87,2
87,0.0865,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,2015-11-13,Justin Bieber,0.605,0.768,No Feature,0,-3.724,100.209,09CtPGIpYB4BrO8qb1RGsF,Sorry,0.414,88,2
88,0.171,Back For The First Time,2kT80DHqRtHQzDhQ2RCoIV,2000-01-01,Ludacris,0.914,0.813,Shawnna,9,-3.607,140.089,4LwOrnuxJwR7C5Sw4liY4Z,What's Your Fantasy (Featuring Shawna),0.962,89,1
89,0.529,In The Lonely Hour,08jWgM4vSkTose4blKBWov,2014-01-01,Sam Smith,0.677,0.485,No Feature,5,-5.795,82.001,7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,0.493,90,1
90,0.176,The Mixtape About Nothing,5vsqzCBriQGiXMxlLFe1Za,2008-08-19,Wale,0.804,0.509,No Feature,8,-13.088,90.02,71o1EHEs0MLBK8PlkOcp9I,The Opening Title Sequence,0.676,91,1
91,0.133,Street Love,6Lq7nLkIq7C0zVJp0OGSGO,2007-01-01,Lloyd,0.825,0.909,No Feature,5,-4.009,128.003,2a03afRiyAbNAleOByVju4,Get It Shawty - Main,0.625,92,1
92,0.0159,Empire: The Complete Season 2,6a8QoPtjLmncBTWVixRVaq,2016-07-08,Empire Cast,0.817,0.767,Terrence Howard,9,-6.474,97.979,2Mp5gFOvJpHg7xTUisrNno,Boom Boom Boom Boom,0.358,93,1
93,0.0275,Cream On Chrome,3RGtHyDiOrog7uzkhPYa4I,2015-04-13,Ratatat,0.79,0.692,No Feature,7,-4.704,100.264,34v7Zs9a64h1xC3PWrmypP,Cream On Chrome,0.82,94,0
94,0.0205,V,2Auw0pTT6EcQdvHNimhLQI,2015-05-15,Maroon 5,0.742,0.713,No Feature,1,-5.522,120.032,4gbVRS8gloEluzf0GzDOFc,Maps,0.879,95,0
95,0.11,ANTI,3Q149ZH46Z0f3oDR7vlDYV,2016-01-28,Rihanna,0.671,0.314,No Feature,5,-8.091,110.898,1Tt4sE4pXi57mTD1GCzsqm,Needed Me,0.296,96,0
96,0.0891,Playlist: The Very Best Of Bow Wow,1dQGXePMNkrSavN2pxF48a,2000,Bow Wow,0.763,0.629,Chris Brown,7,-8.66,142.149,4F55RCGuM477OjznpYGhYz,Shortie Like Mine,0.709,97,0
97,0.34,Funk Wav Bounces Vol.1,2HaqChIDc5go3qxVunBDK0,2017-06-30,Calvin Harris,0.784,0.728,Young Thug,0,-4.549,110.165,60APt5N2NRaKWf5xzJdzyC,Heatstroke,0.713,98,0
0,0.0393,The Miseducation of Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,1998-08-25,Ms. Lauryn Hill,0.535,0.505,No Feature,2,-8.926,99.935,0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),0.495,1,19
1,0.239,Summer: The Original Hits,2TNGyJVlzMUsD5mry6qsw2,2018-04-20,Donna Summer,0.691,0.934,Brooklyn Dreams,8,-3.993,131.969,3AUbB5IqApnPB033aJ3Fbo,Heaven Knows,0.735,2,19
